Title,Name,content
 Affaires étrangères : accord avec l'Argentine sur l'emploi,"Projet de loi, André Boyer, Rapport,  TA n° 13 , Louise Moreau",autorisant l'approbation de l'accord sous forme d'echange de lettres entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique argentine relatif a l'emploi des personnes a charge des membres des missions officielles d'un Etat dans l'autre
 Affaires étrangères : accord avec l'Arménie sur les investissements,"Projet de loi, Hubert Durand-Chastel, Rapport,  TA n° 16 , Roland Blum",autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique d'Armenie sur l'encouragement et la protection reciproques des investissements
 accord France-Bresil relatif aux investissements,"Antoine Joly, André Boyer",autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique federative du Bresil sur l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres)
 accord France-CEE sur les droits a pension,,
 accord France-Chili sur les investissements,"André Boyer, Louise Moreau",autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique du Chili sur l'encouragement et la protection reciproques des investissements
 accord France-Equateur sur les investissements,"Nicolas About, Antoine Joly",autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique de l'Equateur sur l'encouragement et la protection reciproques des investissements
 Affaires étrangères : coopération transfrontalière avec l'Espagne,"Jacques Blanc, (Dossier en ligne sur le site du Sénat)","autorisant la ratification du traite entre la Republique francaise et le Royaume d'Espagne relatif a la cooperation transfrontaliere entre collectivites territoriales, signe a Bayonne le 10 mars 1995"
 Affaires étrangères : accord avec Hong-Kong sur les investissements,"Projet de loi, Jacques Habert, Rapport,  TA n° 17 , Ladislas Poniatowski",autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de Hong-Kong sur l'encouragement et la protection reciproques des investissements
 accord France-Jamaique sur les investissements,"Michel D'Aillieres, Christiane Taubira",autorisant l'approbation d'un accord entre le gouvernement de la Republique francaise et le gouvernement de la Jamaique sur l'encouragement et la protection reciproques des investissements
 accord France-Lettonie sur les investissements,"Michel Crucis, Gabriel Kaspereit",autorisant l'approbation d'un accord entre le gouvernement de la Republique francaise et le gouvernement de la Republique de Lettonie sur l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres)
 Affaires étrangères : accord avec le Maroc sur la protection des investissements,"Jean-Bernard Raimond, (Dossier en ligne sur le site du Sénat)",autorisant l'approbation d'un accord entre le Gouvernement de la République française et le Gouvernement du Royaume du Maroc sur l'encouragement et la protection réciproques des investissements (ensemble un échange de lettres)
 accord France-Mongolie sur la protection des investissements,,"au cours de la séance du mercredi 5 mai 1993
Projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique populaire de Mongolie sur l'encouragement et la protection reciproques des investissements, adopté sans modification en 1ère lecture par le Sénat le 5 mai 1993"
 accord France-Ouzbekistan sur les investissements,"Jacques Genton, Aymeri de Montesquiou",autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique d'Ouzbekistan sur l'encouragement et la protection reciproques des investissements
 accord France-Perou relatif aux investissements,"Antoine Joly, Jacques Habert",autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique du Perou sur l'encouragement et la protection reciproques des investissements
 accord France-Philippines sur les investissements,"Michel Alloncle, René Chabot",autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique des Philippines sur l'encouragement et la protection reciproques des investissements (ensemble un protocole)
 accord France-Portugal sur les impots sur les successions,Monique Papon,autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique portugaise en matiere d'impots sur les successions et les donations (ensemble un echange de lettres interpretatif)
 accord France-Qatar sur les doubles impositions,"François d'Harcourt, Emmanuel Hamel","autorisant l'approbation de l'accord sous forme d'echange de lettres entre le Gouvernement de la Republique francaise et le Gouvernement de l'Etat du Qatar, portant interpretation de la convention fiscale du 4 decembre 1990 en vue d'eviter les doubles impositions"
 accord France-Roumanie sur les investissements,"Hubert Durand-Chastel, Jean-Michel Ferrand",autorisant l'approbation de l'accord entre le gouvernement de la Republique francaise et le gouvernement de Roumanie sur l'encouragement et la protection reciproques des investissements (ensemble un protocole)
 accord France-Russie sur les centres culturels,"René André, Claude Estier",autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Federation de Russie sur la creation et les modalites de fonctionnement des centres culturels
 accord France-Suisse sur la peche,,"autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Conseil federal suisse concernant l'exercice de la peche et la protection des milieux aquatiques dans la partie du Doubs formant frontiere entre les deux Etats (ensemble une annexe, un reglement d'application et une declaration), adopté définitivement en 1ère lecture par le Sénat le 13 avril 1993 , TA"
 accord France-Sultanat d'Oman sur les investissements,"Serge Vinçon, Jean-Marc Nesme",autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement du Sultanat d'Oman sur l'encouragement et la protection reciproques des investissements
 accord France-Uruguay sur les investissements,"Antoine Joly, Michel Alloncle",autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique orientale de l'Uruguay sur l'encouragement et la protection reciproques des investissements (ensemble un protocole)
 accord France-Vietnam sur les investissements,"Paul d'Ornano, Étienne Pinte",autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique socialiste du Vietnam sur l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres interpretatif)
 accord France-Yemen,,"au cours de la séance du mercredi 5 mai 1993
Projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique du Yemen relatif a la cooperation culturelle, scientifique et technique, signe a Sanaa le 31 octobre 1991, adopté sans modification en 1ère lecture par le Sénat le 5 mai 1993 , TA"
 accord instituant l'OMC,"Roland Blum, Xavier de Villepin",autorisant la ratification de l'accord instituant l'Organisation mondiale du commerce (ensemble quatre annexes)
Traités et conventions : accord international de 1994 sur le café,"Projet de loi, Serge Vinçon, Rapport,  TA n° 8 , François Guillaume",autorisant l'approbation de l'accord international de 1994 sur le cafe
 accord sur la circulation des trains Belgique Royaume-Uni,"Serge Charles, Jacques Golliet","autorisant l'approbation de l'accord entre le Gouvernement du Royaume de Belgique, le Gouvernement de la Republique francaise et le Gouvernement du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord concernant la circulation des trains entre la Belgique et le Royaume-Uni empruntant la liaison fixe transmanche (ensemble un protocole)"
 Traités et conventions : accord sur la commission des thons de l'ocean Indien,"Projet de loi, Danielle Bidard-Reydet, Rapport,  TA n° 19 , René Chabot",autorisant l'adhesion de la Republique francaise a l'accord portant creation de la Commission des thons de l'ocean Indien (ensemble deux annexes)
 accord sur la cooperation des ports de Strasbourg et de Kehl,"Louis Jung, Marc Reymann",autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement du Land Bade-Wurtemberg concernant les relations de cooperation entre les etablissements portuaires de Strasbourg et de Kehl
 accord sur le jute,"François Guillaume, Bernard Guyomard",autorisant l'approbation de l'accord international de 1989 sur le jute et les articles en jute
 accord sur l'Espace economique europeen,"Jacques Genton, Dominique Paillé",autorisant la ratification de l'accord sur l'Espace economique europeen et du protocole portant adaptation dudit accord
 accord sur l'Espace economique europeen,Lucien Lanier,portant modification de diverses dispositions pour la mise en oeuvre de l'accord sur l'Espace economique europeen
 accords de consortiums maritimes,,Rapport d'information déposé par la délégation de l'Assemblée nationale pour les communautés européennes  déposé par la Delegation de l'Assemblee Nationale pour les Communautes europeennes sur le projet de reglement de la Commission relatif aux accords de consortiums maritime
 accroitre les pouvoirs du Parlement,Louis PIERNA,"tendant a modifier l'ordonnance no 59-2 du 2 janvier 1959 en vue de democratiser la preparation, la discussion et le controle de l'execution des lois de finances et d'accroitre les pouvoirs du Parlement"
 Société : accueil des gens du voyage,"Proposition de loi, Louis SOUVET, Jean-Paul Delevoye, Rapport",visant à clarifier les conditions d'accueil des gens du voyage sur le territoire des communes de plus de 5000 habitants
 acquereurs de terrain a batir,André SANTINI,relative a la protection des acquereurs de terrain a batir
 acquisition des biens en clause de tontine,Franck SÉRUSCLAT,modifiant le plafond institue a l'article 754-A du code general des impots et relative a l'acquisition des biens en clause de tontine
 action des regions en faveur de l'audiovisuel,Christian VANNESTE,"  relative a l'action des regions en faveur de projets de productions cinematographiques, audiovisuelles et multimedias"
" actions communautaires en education, formation et jeunesse",,"Rapport d'information  "" déposé par la Delegation de l'Assemblee nationale pour l'Union europeenne sur trois programmes d'action communautaire pour la periode 1995-1999 dans les domaines de l'education, de la formation professionnelle et de la jeunesse : proposition de decision du parlement europeen et du Conseil etablissant le programme d'action communautaire """"Socrates"""" (no E-223), proposition de decision du Conseil etablissant un programme d'action pour la mise en oeuvre d'une politique de formation professionnelle de la Communaute europeenne """"Leonardo da Vinci"""" (no E-224), proposition de decision du Parlement europeen et du Conseil portant adoption de la 3eme phase du programme """"Jeunesse pour l'Europe"""" visant a promouvoir..."
 actions nominatives des societes commerciales,"Etienne DAILLY, Etienne Dailly, Jean-Jacques Hyest",autorisant le versement de primes de fidelite a certaines actions nominatives des societes commerciales
 activite de l'Assemblee consultative du Conseil de l'Europe,,Rapport d'information déposé en application de l'article 29 du Règlement au nom des délégués de l'Assemblée nationale à l'Assemblée parlementaire du conseil de l'Europe  au nom des delegues de l'Assemblee nationale a l'Assemblee consultative du Conseil de l'Europe sur l'activite de cette Assemblee au cours de sa 44eme session ordinaire (1992-1993) - Tome I : 1ere a 4eme parties (mai 1992 - avril 1993) Tome II : 5eme a 7eme parties (mai - octobre 1993
 activite de l'Assemblee de l'UEO,,Rapport d'information déposé par la délégation de l'Assemblée nationale pour les communautés européennes  au nom des delegues de l'Assemblee nationale a l'Assemblee de l'Union de l'Europe Occidentale sur l'activite de cette Assemblee au cours de ses 38eme et 39eme sessions ordinaires (1992-1993
 activité de l'Assemblée de l'UEO,,Rapport d'information déposé en application de l'article 29 du Règlement au nom des délégués de l'Assemblée nationale à l'Assemblée parlementaire du conseil de l'Europe  fait en application de l'article 29 du Reglement au nom des delegues de l'Assemblee nationale a l'Assemblee de l'Union de l'Europe occidentale sur l'activite de cette Assemblee au cours de sa 40eme session ordinaire (1994
 activité de l'Assemblée du Conseil de l'Europe,,Rapport d'information déposé en application de l'article 29 du Règlement au nom des délégués de l'Assemblée nationale à l'Assemblée parlementaire du conseil de l'Europe  fait en application de l'article 29 du Reglement au nom des delegues de l'Assemblee nationale a l'Assemblee parlementaire du Conseil de l'Europe sur l'activite de cette Assemblee au cours de sa session ordinaire de 199
activité de l'OSCE en 1995,,Rapport d'information déposé en application de l'article 29 du Règlement au nom des délégués de l'Assemblée nationale à l'Assemblée parlementaire de l'Organisation sur la Sécurité et la Coopération en Europe (O.S.C.E.)  fait en application de l'article 29 du Reglement au nom des Delegues de l'Assemblee nationale a l'Assemblee parlementaire de l'Organisation pour la Securite et la Cooperation en Europe (O.S.C.E.) sur l'activite de cette Assemblee en 1995 et sur les derniers developpements de l'O.S.C.E
activité de l'UEO en 1995,,"Rapport d'information déposé en application de l'article 29 du Règlement au nom des délégués de l'Assemblée nationale à l'Assemblée parlementaire du conseil de l'Europe  fait en application de l'article 29 du Reglement, au nom des delegues de l'Assemblee nationale a l'Assemblee de l'Union de l'Europe Occidentale, sur l'activite de cette Assemblee au cours de la troisieme partie de sa 40eme session ordinaire et de la premiere partie de sa 41eme session ordinaire (1995"
 activite des distributeurs de carburant,Bernard MURAT,tendant a soutenir l'activite des distributeurs de carburant
 activite des marchands de listes,Jean-François CHOSSY,visant a reglementer l'activite des marchands de listes
activité du Conseil de l'Europe en 1995,,"Rapport d'information déposé en application de l'article 29 du Règlement au nom des délégués de l'Assemblée nationale à l'Assemblée parlementaire du conseil de l'Europe  fait en application de l'article 29 du Reglement, au nom des delegues de l'Assemblee nationale a l'Assemblee parlementaire du Conseil de l'Europe, sur l'activite de cette Assemblee au cours de sa session ordinaire de 199"
 activite minimum d'insertion,Roselyne BACHELOT-NARQUIN,  relative a l'activite minimum d'insertion
 activites ambulantes,"André Fosset, Jean-Paul Charié","concernant les clauses abusives, la presentation des contrats, le demarchage, les activites ambulantes, le marquage communautaire des productions et les marches de travaux prives"
 activités de la Commission de l'Océan indien,,Rapport d'information déposé en application de l'article 29 du Règlement au nom des délégués de l'Assemblée nationale à l'Assemblée parlementaire de l'Organisation sur la Sécurité et la Coopération en Europe (O.S.C.E.)  déposé en application de l'article 145 du Reglement par la commission des affaires etrangeres sur les activites de la Commission de l'Ocean indie
 activites des comites d'entreprises,Marc LAURIOL,visant a modifier les dispositions legales relatives aux activites sociales et culturelles des comites d'entreprises
 actualisant la loi locale en Alsace-Moselle,Hubert HAENEL,"tendant a actualiser la loi locale de chasse regissant les departements du Bas-Rhin, du Haut-Rhin et de la Moselle"
 actualiser la loi locale d'Alsace-Moselle,Bernard SCHREINER,"tendant a actualiser la loi locale de chasse regissant les departements du Bas-Rhin, du Haut-Rhin et de la Moselle"
 adhesion a l'Organisation internationale pour les migrations,"Jean-Yves Le Déaut, Bernard Guyomard",autorisant l'adhesion de la Republique francaise a l'Acte constitutif de l'Organisation internationale pour les migrations
 adhesion de la Grece a la convention de Schengen,,"autorisant l'approbation de l'accord d'adhesion de la Republique hellenique a la convention d'application de l'accord de Schengen du 14 juin 1985 entre les Gouvernements des Etats de l'Union economique Benelux, de la Republique federale d'Allemagne et de la Republique francaise relatif a la suppression graduelle des controles aux frontieres communes, signee a Schengen le 19 juin 1990, a laquelle ont adhere la Republique italienne par l'accord signe a Paris le 27 novembre 1990 et le Royaume d'Espagne et la Republique portugaise par les accords signes a Bonn le 25 juin 199"
 adhesion de la Republique hellenique a l'UEO,"Dominique Paillé, Serge Vinçon",autorisant la ratification du protocole d'adhesion de la Republique hellenique a l'Union de l'Europe occidentale
 adhesion de l'Autriche a la convention de Schengen,,"autorisant l'approbation de l'accord d'adhesion de la Republique hellenique a la convention d'application de l'accord de Schengen du 14 juin 1985 entre les Gouvernements des Etats de l'Union economique Benelux, de la Republique federale d'Allemagne et de la Republique francaise relatif a la suppression graduelle des controles aux frontieres communes, signee a Schengen le 19 juin 1990, a laquelle ont adhere la Republique italienne par l'accord signe a Paris le 27 novembre 1990 et le Royaume d'Espagne et la Republique portugaise par les accords signes a Bonn le 25 juin 1991,"
 adhesion de l'Espagne a l'accord de Schengen,Marc Laffineur,"autorisant l'approbation de l'accord d'adhesion du Royaume d'Espagne a la convention d'application de l'accord de Schengen du 14 juin 1985 entre les gouvernements des Etats de l'Union economique Benelux, de la Republique federale d'Allemagne et de la Republique francaise relatif a la suppression graduelle des controles aux frontieres communes signee a Schengen le 19 juin 1990, a laquelle a adhere la Republique italienne par l'accord signe a Paris le 27 novembre 1990"
 adhesion du Portugal a l'accord de Schengen,"Jacques Myard, Xavier de Villepin","autorisant l'approbation de l'accord d'adhesion de la Republique portugaise a la convention d'application de l'accord de Schengen du 14 juin 1985 entre les gouvernements des Etats de l'Union economique Benelux, de la Republique federale d'Allemagne et de la Republique francaise relatif a la suppression graduelle des controles aux frontieres communes signee a Schengen le 19 juin 1990, a laquelle a adhere la Republique italienne par l'accord signe a Paris le 27 novembre 1990"
 administration des parcs naturels regionaux,Alain VASSELLE,visant a modifier l'article L. 244-1 du code rural relatif a l'administration des parcs naturels regionaux
 administration territoriale de la Republique,Jean-Paul DELEVOYE,visant a modifier l'article 68 de la loi du 6 fevrier 1992 relative a l'administration territoriale de la Republique
 administration territoriale de la Republique,"Alain LAMBERT, Michel Mercier","relative aux districts et modifiant le code des communes, le code general des impots et la loi d'orientation no 92-125 du 6 fevrier 1992 relative a l'administration territoriale de la Republique"
 adoption,Jean-François MATTEI,relative a l'adoption
 adoption,"Jean-François MATTEI, Jean-François Mattei, Luc Dejoie",relative a l'adoption
 aeroports de Saint-Martin,"Jacques Myard, André Boyer",autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement du Royaume des Pays-Bas concernant le controle de personnes sur les aeroports de Saint-Martin
 affaires europeennes a l'Assemblee nationale,,"Rapport d'information déposé en application de l'article 146 du Règlement par la Commission des finances, de l'économie générale et du Plan  déposé par la Delegation de l'Assemblee nationale pour l'Union europeenne sur le suivi des affaires europeennes a l'Assemblee national"
 affectation des fonctionnaires,Alain MARSAUD,tendant a instituer une priorite d'affectation au profit des fonctionnaires originaires des departements en voie de depeuplement
 affichage et diffusion d'opinion,Raoul BÉTEILLE,"tendant a garantir, en toute periode, le caractere de libertes publiques fondamentales a l'affichage et a la diffusion d'opinion"
 affichage et la diffusion d'opinion,Rémy AUCHEDÉ,"tendant a garantir, en toute periode, le caractere de libertes publiques fondamentales a l'affichage et a la diffusion d'opinion"
 age d'eligibilite a certains mandats locaux,,abaissant l'age d'eligibilite a certains mandats locaux et relatif a l'association des jeunes a la vie de la commune
 agences matrimoniales,Claude GOASGUEN,visant a reglementer les propositions de rencontres entre particuliers presentees par des professionnels
 agences regionales pour l'emploi,Charles MILLON,tendant a la creation des agences regionales pour l'emploi
 agglomerations nouvelles,Nicolas ABOUT,portant modification des dispositions applicables aux agglomerations nouvelles
